2024-12-29 18:16:52 [Thread-0] INFO  dal.WordDAO - getSuggestions method called with prefix: r
2024-12-29 18:16:53 [Thread-0] DEBUG dal.WordDAO - Prepared statement created with query: SELECT word FROM Words WHERE word LIKE ?
2024-12-29 18:16:53 [Thread-0] INFO  dal.WordDAO - getSuggestions method completed, returning 0 suggestions
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Adding word to database: uy
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Word inserted successfully with ID: 218
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Urdu meaning inserted for word: uy
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Persian meaning inserted for word: uy
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Transaction committed successfully.
2024-12-29 18:17:05 [AWT-EventQueue-0] INFO  dal.WordDAO - Database resources cleaned up.
2024-12-29 18:17:13 [Thread-1] INFO  dal.WordDAO - Fetching all words from database.
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: كتاب, Urdu: کتاب, Persian: کتاب
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: مدرسة, Urdu: اسکول, Persian: مدرسه
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: معلم, Urdu: استاد, Persian: معلم
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: قمر, Urdu: چاند, Persian: ماه
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: شمس, Urdu: سورج, Persian: خورشید
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: حب, Urdu: محبت, Persian: محبت
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: قلم, Urdu: قلم, Persian: قلم
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: سلام, Urdu: سلام, Persian: سلام
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: بحر, Urdu: سمندر, Persian: دریا
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: شجرة, Urdu: درخت, Persian: درخت
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: null, Persian: null
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: duplicate, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: duplicate, Urdu: نقل, Persian: مترجم
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: duplicate, Urdu: مترادف, Persian: مساوی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: مصر, Persian: تست
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: آزمائش, Persian: آزمایشی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: duplicate, Urdu: مترادف, Persian: مساوی
2024-12-29 18:17:13 [Thread-1] DEBUG dal.WordDAO - Fetched word: test, Urdu: مصر, Persian: تست
